t_rel_s,shm_used_mb,shm_sm_block_count,images_out_mb,pipelines
0.5,39119.03,5474,3688.35,0
0.8,39119.03,5474,3688.35,0
1.2,39358.6,5483,3688.35,0
1.2,39390.88,5483,3688.35,0
1.4,39199.11,5493,3688.35,0
1.4,39119.11,5493,3688.35,0
1.5,39119.11,5493,3688.35,0
1.5,39119.11,5493,3688.35,0
1.5,39119.11,5493,3688.35,0
1.5,39119.11,5493,3688.35,0
1.8,39119.14,5502,3688.35,0
1.8,39119.14,5502,3688.35,0
1.8,39119.14,5502,3688.35,0
1.8,39119.14,5502,3688.35,0
2.4,39119.14,5502,3688.35,0
2.9,39271.14,5502,3688.35,0
3.4,39119.14,5502,3688.35,0
3.9,39119.14,5502,3688.35,0
4.4,39119.14,5502,3688.35,0
4.7,39119.14,5502,3688.35,0
4.7,39119.14,5502,3688.35,0
4.7,39119.14,5502,3688.35,0
4.8,39119.14,5502,3688.35,0
4.8,39119.14,5503,3688.35,0
4.8,39119.22,5522,3688.35,0
4.8,39119.3,5542,3688.35,0
4.8,39119.38,5562,3688.35,0
4.8,39119.54,5602,3688.35,0
4.8,39119.6,5619,3688.35,0
4.8,39119.6,5619,3688.35,0
4.8,39119.6,5619,3688.35,0
4.8,39119.6,5619,3688.35,0
4.8,39119.6,5619,3688.35,0
4.8,39119.61,5622,3688.35,0
4.8,39119.69,5642,3688.35,0
4.8,39119.77,5662,3688.35,0
4.8,39119.85,5682,3688.35,0
4.8,39119.93,5702,3688.35,0
4.8,39120.07,5740,3688.35,0
4.8,39120.08,5742,3688.35,0
4.9,39120.08,5742,3688.35,0
5.1,39120.08,5742,3688.35,0
5.2,39120.08,5742,3688.35,0
5.2,39120.08,5742,3688.35,0
5.2,39120.08,5742,3688.35,0
5.3,39120.08,5742,3688.35,0
5.3,39120.08,5742,3688.35,0
5.3,39120.08,5742,3688.35,0
5.3,39120.08,5742,3688.35,0
5.3,39120.08,5742,3688.35,0
5.3,39120.08,5742,3688.35,0
5.3,39120.08,5742,3688.35,0
