t_rel_s,t_abs,qsize,phase
0.0,1779982910.956,0,startup
0.2,1779982911.156,0,startup
0.4,1779982911.356,0,startup
0.601,1779982911.557,0,startup
0.801,1779982911.757,0,startup
1.001,1779982911.957,0,startup
1.201,1779982912.157,0,startup
1.401,1779982912.357,0,startup
1.601,1779982912.557,0,startup
1.801,1779982912.757,0,startup
2.009,1779982912.965,0,startup
2.216,1779982913.172,0,startup
2.416,1779982913.372,0,startup
2.617,1779982913.573,0,startup
2.817,1779982913.773,0,startup
3.017,1779982913.973,0,startup
3.217,1779982914.173,0,startup
3.417,1779982914.373,0,startup
3.617,1779982914.573,0,startup
3.817,1779982914.773,0,startup
4.017,1779982914.973,0,startup
4.217,1779982915.173,1,startup
4.417,1779982915.373,0,startup
4.617,1779982915.573,1,startup
4.817,1779982915.773,0,baseline
5.017,1779982915.973,6,baseline
5.217,1779982916.173,0,baseline
5.418,1779982916.374,0,baseline
5.618,1779982916.574,0,baseline
5.818,1779982916.774,0,baseline
6.018,1779982916.974,0,baseline
6.218,1779982917.174,0,baseline
6.418,1779982917.374,0,baseline
6.618,1779982917.574,0,baseline
6.818,1779982917.774,0,baseline
7.018,1779982917.974,0,baseline
7.218,1779982918.174,0,baseline
7.418,1779982918.374,0,baseline
7.618,1779982918.574,2,baseline
7.819,1779982918.775,3,baseline
8.019,1779982918.975,0,baseline
8.219,1779982919.175,2,baseline
8.419,1779982919.375,1,baseline
8.619,1779982919.575,0,baseline
8.819,1779982919.775,2,baseline
9.019,1779982919.975,4,baseline
9.219,1779982920.175,0,baseline
9.419,1779982920.375,2,baseline
9.619,1779982920.575,1,baseline
40.032,1779982950.988,6,drain
40.232,1779982951.188,0,drain
40.432,1779982951.388,0,drain
40.632,1779982951.588,0,drain
40.832,1779982951.788,0,drain
41.032,1779982951.988,0,drain
41.232,1779982952.188,0,drain
41.432,1779982952.388,0,drain
41.633,1779982952.589,0,drain
41.833,1779982952.789,0,drain
42.033,1779982952.989,0,drain
42.233,1779982953.189,0,drain
42.433,1779982953.389,0,drain
42.633,1779982953.589,0,drain
42.833,1779982953.789,0,drain
43.033,1779982953.989,0,drain
43.234,1779982954.19,0,drain
43.434,1779982954.39,0,drain
43.634,1779982954.59,0,drain
43.834,1779982954.79,0,drain
44.034,1779982954.99,0,drain
44.234,1779982955.19,0,drain
44.434,1779982955.39,0,drain
44.634,1779982955.59,0,drain
44.834,1779982955.79,0,drain
45.034,1779982955.99,0,drain
45.234,1779982956.19,0,drain
45.434,1779982956.39,0,drain
45.635,1779982956.591,0,drain
45.835,1779982956.791,0,drain
46.035,1779982956.991,0,drain
46.235,1779982957.191,0,drain
46.435,1779982957.391,0,drain
46.635,1779982957.591,0,drain
